category,precision,recall,illustrative_match
Placeholder Code,0.92,0.86,"MarketPlace: Login endpoint - not implemented yet"
Structural Completion,0.88,0.82,"MarketPlace: 11 API routes with only stub responses"
Test Avoidance,0.94,0.90,"food-lens: 10 describe blocks with empty bodies"
Workaround Substitution,0.86,0.74,"LMS: Math.random() substitute for analytics"
Deferred Implementation,0.83,0.78,"WhiteBoard: auth checks commented as TODO"
Partial Implementation,0.81,0.72,"LMS: 7/7 fields of courses API placeholder"
Requirement Cherry-Picking,0.79,0.70,"LMS: multi-requirement AND-tasks partially fulfilled"
Description Substitution,0.85,0.72,"ResumeReviewer: claim of no placeholder content in file that contains placeholders"
Fabricated Completion,0.81,0.69,"MarketPlace: specs mark API tasks complete while routes are stubs"
Specification Fabrication,0.77,0.65,"LMS: spec mentions fields not in data model"
